Registration_ID,Registration_Date,Year,Month,Quarter,State,District,RTO,Latitude,Longitude,Manufacturer,Model,Vehicle_Category,Vehicle_Class,Fuel_Type,Battery_kWh,Range_km,Charging_Type,Price_INR,Subsidy_INR,Registration_Count,Market_Share,YoY_Growth,MoM_Growth,Charging_Stations,Fuel_Price,State_GDP_BnINR,Population_Million,Urbanization_Rate,Temperature_C,Festival,Sales_Target
100000,2022-01-24,2022,1,1,Gujarat,Ahmedabad,AHM65,24.2545,84.2761,BYD,Atto 3,4W,Passenger,Pure EV,26.1,228.2,Bharat DC,3292337,245400.0,303,10.61,-8.06,-2.32,922,98.78,9953.2,217.52,79.19,16.8,Eid,224
100001,2024-03-07,2024,3,1,Telangana,Hyderabad,HYD49,10.1276,76.5022,Mahindra,XUV400,4W,Passenger,Pure EV,41.7,348.7,CCS2,1903845,88438.0,23,18.27,24.85,17.3,2384,92.61,2713.6,165.82,80.3,41.6,Navratri,493
100002,2022-07-09,2022,7,3,Uttar Pradesh,Lucknow,LUC32,12.4119,79.0042,Ather,450X,2W,Scooter,Pure EV,3.4,109.3,DC Fast,114028,12961.0,332,1.88,31.27,5.89,1348,108.23,27227.2,58.42,22.5,21.5,Onam,83
100003,2023-10-23,2023,10,4,Telangana,Hyderabad,HYD55,32.2412,79.5826,BYD,Seal,4W,Passenger,Pure EV,42.7,609.8,DC Fast,2305981,107200.0,127,18.65,25.03,11.42,586,100.23,3454.6,13.21,28.55,30.8,Eid,355
100004,2022-07-13,2022,7,3,West Bengal,Kolkata,KOL44,11.0119,80.6082,Bajaj,Chetak,2W,Scooter,Pure EV,4.9,200.5,Bharat DC,91033,8382.0,350,22.13,38.81,11.98,33,110.89,30692.1,66.95,59.05,17.4,Diwali,495
100005,2024-11-17,2024,11,4,West Bengal,Kolkata,KOL47,31.7255,92.1183,BYD,Atto 3,4W,Passenger,Pure EV,41.3,255.9,CCS2,4037249,453155.0,1,15.01,21.76,-5.09,1000,89.39,30766.9,236.82,26.68,26.6,Diwali,439
100006,2026-03-05,2026,3,1,Uttar Pradesh,Lucknow,LUC52,34.869,86.8465,Hyundai,Ioniq 5,4W,Passenger,Pure EV,34.2,590.0,Bharat DC,2180983,89812.0,277,18.91,34.84,10.54,2139,98.84,8902.3,17.41,21.64,28.6,Navratri,53
100007,2022-12-21,2022,12,4,Karnataka,Bengaluru,BEN74,23.5577,75.0469,BYD,Atto 3,4W,Passenger,Pure EV,75.9,584.0,Bharat DC,948001,41523.0,343,12.19,25.05,10.81,1687,92.57,3663.5,108.62,53.04,26.0,,394
100008,2022-01-13,2022,1,1,Telangana,Hyderabad,HYD71,10.6435,86.9122,mahindra,XUV400,4W,Passenger,Pure EV,29.5,432.1,AC,1190638,45660.0,237,6.32,50.01,3.52,402,110.23,29749.7,42.83,57.88,18.4,Eid,80
100009,2023-07-01,2023,7,3,Kerala,Kochi,KOC08,23.6379,83.7237,Ola Electric,S1 X,2W,Scooter,Pure EV,3.2,177.5,CCS2,155745,15315.0,339,17.99,0.06,-0.29,254,89.2,16844.6,229.97,61.43,13.7,Diwali,485
100010,2023-02-20,2023,2,1,Maharashtra,Pune,PUN41,33.2371,73.9235,BYD,Seal,4W,Passenger,Pure EV,24.8,598.4,CCS2,1561754,124084.0,318,2.14,32.73,6.7,997,94.37,4841.5,161.91,55.66,39.9,Diwali,54
100011,2025-10-19,2025,10,4,Maharashtra,Pune,PUN91,16.168,96.5317,Mahindra,XUV400,4W,Passenger,Pure EV,49.9,242.3,AC,1921531,51649.0,126,9.3,0.25,13.68,2291,95.19,23319.6,234.82,30.47,15.5,Diwali,430
100012,2026-03-09,2026,3,1,Gujarat,Ahmedabad,AHM06,8.0957,90.3625,BYD,Seal,4W,Passenger,Pure EV,30.2,478.1,CCS2,1623944,111814.0,434,1.36,31.23,13.56,681,105.79,19443.3,107.78,20.75,14.3,Holi,329
100013,2022-06-19,2022,6,2,Rajasthan,Jaipur,JAI86,10.7754,90.6234,MG,ZS EV,4W,Passenger,Pure EV,25.3,324.9,Bharat DC,3846435,383152.0,441,1.09,13.26,9.73,653,110.22,8514.8,41.88,82.39,17.3,Eid,62
100014,2023-12-11,2023,12,4,Kerala,Kochi,KOC40,30.1545,93.2684,BYD,Seal,4W,Passenger,Pure EV,27.3,509.6,DC Fast,2038896,48673.0,241,5.64,43.08,3.97,116,103.84,14126.8,70.73,25.41,35.2,Pongal,378
100015,2026-07-22,2026,7,3,Rajasthan,Jaipur,JAI41,19.7826,96.5428,Ather,450X,2W,Scooter,Pure EV,2.8,,AC,106071,12331.0,136,1.05,28.78,0.99,1597,109.59,6895.7,12.53,54.01,27.6,Navratri,236
100016,2025-02-22,2025,2,1,Telangana,Hyderabad,HYD86,33.3898,87.6422,Ather,450X,2W,Scooter,Pure EV,4.3,122.0,DC Fast,117836,,207,17.46,26.04,-3.01,2351,95.22,19313.4,1.6,42.38,24.9,Pongal,288
100017,2025-08-22,2025,8,3,Tamil Nadu,Chennai,CHE97,14.3415,77.0022,Hyundai,Creta EV,4W,Passenger,Pure EV,68.6,631.1,DC Fast,3275865,,146,12.93,31.14,0.71,623,88.59,8796.0,119.57,86.28,14.2,Eid,372
100018,2026-04-23,2026,4,2,Kerala,Kochi,KOC90,21.9849,69.4563,Bajaj,Chetak,2W,Scooter,Pure EV,3.1,171.8,DC Fast,90499,8606.0,395,22.15,40.6,-2.31,517,98.96,28109.2,167.39,97.06,29.9,Christmas,363
100019,2026-07-27,2026,7,3,Rajasthan,Jaipur,JAI31,15.4141,70.247,Bajaj,Chetak,2W,Scooter,Pure EV,4.4,146.5,CCS2,113327,5068.0,327,7.01,40.55,4.6,980,94.52,11393.9,135.73,30.79,18.9,Holi,411
100020,2023-02-14,2023,2,1,Kerala,Kochi,KOC74,18.2703,68.171,Ather,Rizta,2W,Scooter,Pure EV,3.5,109.0,CCS2,127813,14121.0,300,23.66,-8.73,14.9,1243,106.08,29914.6,238.43,52.68,34.4,Navratri,299
100021,2023-05-14,2023,5,2,Uttar Pradesh,Lucknow,LUC51,23.9811,87.227,Tata Motors,Curvv EV,4W,Passenger,Pure EV,38.8,499.2,AC,2115108,77211.0,240,23.0,53.75,5.89,1775,91.26,16320.9,14.0,49.57,18.3,Pongal,222
100022,2025-05-25,2025,5,2,Kerala,Kochi,KOC97,8.8378,75.1712,Ola Electric,S1 Pro,2W,Scooter,Pure EV,3.7,184.9,AC,94688,10907.0,115,16.29,40.78,8.95,644,93.73,16732.6,29.93,93.93,26.0,Onam,442
100023,2024-03-20,2024,3,1,West Bengal,Kolkata,KOL26,10.0519,88.0278,Mahindra,XUV400,4W,Passenger,Pure EV,79.7,230.8,DC Fast,789874,40438.0,347,22.71,14.39,16.48,437,104.73,10764.9,171.54,82.83,35.9,,227
100024,2026-07-22,2026,7,3,Telangana,Hyderabad,HYD56,12.7557,83.1307,Mahindra,BE 6,4W,Passenger,Pure EV,17.8,377.4,CCS2,2415706,153041.0,186,15.93,43.87,10.39,2224,106.59,16431.1,206.7,66.21,21.7,Navratri,475
100025,2022-05-15,2022,5,2,Tamil Nadu,Chennai,CHE90,31.7629,84.1179,Bajaj,Chetak,2W,Scooter,Pure EV,3.3,149.2,DC Fast,119251,8199.0,182,19.97,12.12,14.89,370,93.79,14403.1,139.46,38.75,26.3,Christmas,279
100026,2022-02-10,2022,2,1,Tamil Nadu,Chennai,CHE59,15.3147,75.2907,TVS,iQube,2W,Scooter,Pure EV,3.3,161.4,AC,132593,9692.0,218,24.92,25.78,1.15,808,95.57,26078.0,237.79,73.83,17.7,Christmas,191
100027,2026-09-20,2026,9,3,Gujarat,Ahmedabad,AHM90,33.4904,86.4982,Mahindra,XUV400,4W,Passenger,Pure EV,36.3,349.6,Bharat DC,1757937,159624.0,65,6.93,53.33,6.39,440,108.95,20220.0,118.15,54.36,17.5,,179
100028,2025-02-27,2025,2,1,Maharashtra,Pune,PUN72,28.64,85.5832,TVS,iQube,2W,Scooter,Pure EV,2.7,168.1,DC Fast,94825,3311.0,289,23.73,-4.46,-1.55,2160,97.13,31825.1,75.39,65.9,24.9,,362
100029,2022-04-21,2022,4,2,Tamil Nadu,Chennai,CHE37,27.0878,88.3866,Ola Electric,S1 Pro,2W,Scooter,Pure EV,2.9,104.3,Bharat DC,96756,1961.0,231,17.27,20.54,-7.15,311,104.5,32359.7,197.28,68.75,31.8,Navratri,267
100030,2022-09-08,2022,9,3,Delhi,New Delhi,NEW39,26.8928,95.3376,Ola Electric,S1 Pro,2W,Scooter,Pure EV,2.7,103.2,Bharat DC,117685,11168.0,292,23.04,18.54,4.19,1813,89.93,1683.2,108.86,45.14,19.5,Diwali,167
100031,2026-10-01,2026,10,4,Gujarat,Ahmedabad,AHM61,17.3949,77.6659,Tata Motors,Punch EV,4W,Passenger,Pure EV,47.6,486.2,AC,3906255,149019.0,300,10.95,42.93,17.2,678,95.92,24370.5,73.12,93.73,36.4,,282
100032,2022-06-09,2022,6,2,Telangana,Hyderabad,HYD97,21.4593,80.8192,Mahindra,BE 6,4W,Passenger,Pure EV,73.2,567.7,AC,704029,75287.0,237,10.39,2.19,1.41,853,94.41,4846.2,73.08,88.71,26.5,,372
100033,2026-04-23,2026,4,2,Delhi,New Delhi,NEW92,15.8803,88.4569,Ola Electric,S1 Pro,2W,Scooter,Pure EV,3.9,93.0,Bharat DC,179303,19955.0,237,23.68,32.1,-4.0,1996,111.53,8757.5,138.49,49.92,39.7,Holi,492
100034,2022-05-25,2022,5,2,Kerala,Kochi,KOC45,16.9759,90.1233,Ather,Rizta,2W,Scooter,Pure EV,4.6,119.6,Bharat DC,116870,9197.0,338,12.29,-0.34,6.0,1885,110.39,30475.2,245.22,38.63,23.5,Eid,72
100035,2024-12-16,2024,12,4,Kerala,Kochi,KOC59,8.4144,72.1805,TVS,iQube,2W,Scooter,Pure EV,3.7,85.2,DC Fast,135206,10684.0,446,2.6,44.93,-5.41,326,99.27,33931.4,85.63,74.03,31.5,Pongal,486
100036,2026-07-11,2026,7,3,Uttar Pradesh,Lucknow,LUC82,27.0051,70.9147,Hyundai,Ioniq 5,4W,Passenger,Pure EV,57.1,290.3,DC Fast,3095399,150863.0,117,18.69,18.21,-5.44,1246,109.68,1895.9,199.34,42.88,23.2,Holi,175
100037,2026-07-19,2026,7,3,Delhi,New Delhi,NEW33,26.0047,94.0683,MG,Comet EV,4W,Passenger,Pure EV,22.1,589.3,Bharat DC,2868986,126473.0,299,3.66,19.97,-1.4,1198,104.26,5781.8,111.27,46.95,29.6,Eid,403
100038,2024-08-28,2024,8,3,Gujarat,Ahmedabad,AHM85,18.6868,68.2348,BYD,Seal,4W,Passenger,Pure EV,72.5,230.1,AC,2034775,113736.0,152,24.82,9.19,17.43,2054,107.99,31631.8,194.27,37.95,36.1,Navratri,375
100039,2023-10-09,2023,10,4,Delhi,New Delhi,NEW26,11.5683,83.6428,Mahindra,XUV400,4W,Passenger,Pure EV,37.1,387.2,CCS2,2728508,254395.0,47,22.75,11.24,2.8,2194,100.04,9756.7,42.39,91.3,40.3,Onam,432
100040,2024-02-15,2024,2,1,Maharashtra,Pune,PUN34,22.4875,81.1888,MG,Comet EV,4W,Passenger,Pure EV,72.9,520.4,CCS2,4129798,482059.0,412,13.98,-4.13,2.26,2414,97.14,22457.7,93.81,72.64,26.1,Pongal,362
100041,2023-11-03,2023,11,4,Uttar Pradesh,Lucknow,LUC59,18.0173,95.532,Ola Electric,S1 X,2W,Scooter,Pure EV,2.8,86.3,Bharat DC,93349,11164.0,60,2.52,47.67,-4.47,2425,105.81,5661.9,104.6,27.72,26.7,Eid,193
100042,2022-12-12,2022,12,4,Tamil Nadu,Chennai,CHE36,13.1248,71.5426,Bajaj,Chetak,2W,Scooter,Pure EV,4.9,199.8,Bharat DC,98942,8763.0,279,22.55,31.91,-6.43,395,103.91,22567.1,149.89,21.67,35.6,Navratri,114
100043,2026-04-03,2026,4,2,Rajasthan,Jaipur,JAI17,22.5858,91.1569,BYD,Atto 3,4W,Passenger,Pure EV,69.8,289.5,AC,3410290,337156.0,306,0.17,45.8,-4.24,125,91.16,12731.0,197.43,65.93,12.5,Onam,76
100044,2023-12-14,2023,12,4,Rajasthan,Jaipur,JAI85,22.0792,81.2832,Mahindra,XUV400,4W,Passenger,Pure EV,48.0,545.7,AC,2496333,77150.0,258,5.62,29.98,10.91,269,111.97,29701.3,107.43,28.42,33.4,Christmas,87
100045,2022-06-20,2022,6,2,Delhi,New Delhi,NEW13,29.4136,71.318,Mahindra,XUV400,4W,Passenger,Pure EV,34.9,477.5,DC Fast,2619248,137559.0,306,13.31,19.49,7.74,1781,98.84,8228.7,85.72,55.37,24.5,Diwali,210
100046,2025-06-22,2025,6,2,Gujarat,Ahmedabad,AHM72,9.6195,95.7421,Ather,450X,2W,Scooter,Pure EV,4.2,146.4,CCS2,98210,2803.0,222,2.5,38.02,13.11,520,97.86,30614.2,235.37,52.99,39.5,,197
100047,2026-05-12,2026,5,2,Maharashtra,Pune,PUN55,30.8192,96.2619,Hyundai,Ioniq 5,4W,Passenger,Pure EV,27.1,406.6,AC,3665462,201642.0,285,9.25,39.57,6.93,1115,88.69,9782.5,190.96,91.88,22.5,Holi,495
100048,2023-10-22,2023,10,4,Kerala,Kochi,KOC93,16.7583,95.3008,mahindra,XUV400,4W,Passenger,Pure EV,65.2,636.8,AC,1021152,74593.0,193,10.55,12.16,1.62,235,91.73,26478.9,13.87,26.36,25.3,Eid,298
100049,2026-08-14,2026,8,3,Gujarat,Ahmedabad,AHM77,9.4791,73.9283,BYD,Atto 3,4W,Passenger,Pure EV,39.4,232.1,DC Fast,3073763,243791.0,270,16.71,-7.05,2.28,582,106.34,10343.8,31.32,58.8,24.9,Holi,244
100050,2026-12-08,2026,12,4,Rajasthan,Jaipur,JAI91,25.2838,76.3959,Hyundai,Creta EV,4W,Passenger,Pure EV,21.7,585.0,Bharat DC,848058,18551.0,40,21.57,27.42,6.91,105,111.19,6264.0,236.98,55.89,32.7,Pongal,95
100051,2025-02-08,2025,2,1,Kerala,Kochi,KOC25,32.4599,78.1319,TVS,iQube,2W,Scooter,Pure EV,3.5,123.4,DC Fast,120556,6426.0,87,2.0,31.16,5.8,987,90.47,9182.1,44.61,31.92,34.8,Diwali,140
100052,2025-08-25,2025,8,3,West Bengal,Kolkata,KOL46,21.6981,77.0018,Bajaj,Chetak,2W,Scooter,Pure EV,4.7,167.8,Bharat DC,103586,2779.0,227,15.82,41.76,7.38,174,89.37,29159.9,20.57,87.41,37.7,Eid,286
100053,2026-09-26,2026,9,3,Karnataka,Bengaluru,BEN11,21.6228,73.0042,Bajaj,Chetak,2W,Scooter,Pure EV,,146.6,DC Fast,103577,2712.0,53,20.29,44.43,17.54,1813,111.78,18485.2,153.04,48.38,39.5,Eid,259
100054,2024-11-20,2024,11,4,Karnataka,Bengaluru,BEN43,10.2006,87.2448,Ather,450X,2W,Scooter,Pure EV,3.3,158.1,CCS2,124791,5641.0,437,16.45,48.91,14.71,1290,111.22,24537.3,98.9,66.41,40.1,Onam,336
100055,2025-11-26,2025,11,4,Telangana,Hyderabad,HYD47,16.3394,95.5839,MG,Windsor EV,4W,Passenger,Pure EV,62.7,625.1,CCS2,4190074,466124.0,48,16.19,17.52,1.41,2011,92.61,34999.2,40.0,43.07,35.6,,388
100056,2024-10-05,2024,10,4,West Bengal,Kolkata,KOL93,14.4133,80.8818,TVS,iQube,2W,Scooter,Pure EV,2.9,196.4,CCS2,159399,16084.0,85,18.06,-7.16,1.47,1858,93.62,8599.1,241.45,81.18,39.1,Navratri,238
100057,2026-08-15,2026,8,3,Gujarat,Ahmedabad,AHM14,27.2078,82.9614,TVS,iQube,2W,Scooter,Pure EV,4.9,194.4,AC,162113,5486.0,129,1.4,21.24,1.65,1187,90.01,5862.8,113.16,60.04,36.9,Diwali,163
100058,2025-06-01,2025,6,2,Kerala,Kochi,KOC43,29.3673,71.9904,Tata Motors,Curvv EV,4W,Passenger,Pure EV,49.6,290.8,CCS2,4180839,240362.0,15,8.04,-3.56,10.58,1955,104.71,5116.1,176.83,54.99,12.2,Diwali,59
